NDVI_JUN, NDVI_JUL, NDVI_AUG, NDVI_SEP, NDVI_OCT, NDVI_NOV
0.264386, 0.302615, 0.562984, 0.652015, 0.558654, 0.48155
0.32717, 0.361321, 0.422079, 0.623042, 0.613616, 0.518064
0.235515, 0.256602, 0.56094, 0.504581, 0.36438, 0.423331
0.273189, 0.449478, 0.580387, 0.592259, 0.456069, 0.409734
0.255449, 0.438551, 0.534718, 0.559814, 0.415374, 0.379453
0.2947, 0.392384, 0.488994, 0.648632, 0.588642, 0.495448
0.248879, 0.431858, 0.492284, 0.511285, 0.357142, 0.344122
0.216166, 0.259748, 0.604506, 0.478582, 0.35787, 0.486557
0.368717, 0.353199, 0.394895, 0.6483, 0.638537, 0.562797
0.222296, 0.343874, 0.40892, 0.53251, 0.361577, 0.409753
0.273417, 0.351752, 0.65919, 0.700406, 0.629356, 0.520089
0.28018, 0.326402, 0.652848, 0.511823, 0.35271, 0.37625
0.51684, 0.25204, 0.605716, 0.790756, 0.701987, 0.637848
0.292102, 0.355826, 0.540747, 0.629241, 0.533627, 0.440707
0.380632, 0.321126, 0.586552, 0.721454, 0.668081, 0.563776
0.194097, 0.298527, 0.470555, 0.380646, 0.301211, 0.391394
0.332522, 0.234818, 0.585658, 0.577591, 0.420897, 0.434669
0.362986, 0.382164, 0.557157, 0.715452, 0.65299, 0.547638
0.269249, 0.388514, 0.677012, 0.56411, 0.445462, 0.398132
0.397798, 0.321939, 0.629891, 0.740246, 0.650413, 0.556221
0.271367, 0.325206, 0.64813, 0.595356, 0.469522, 0.436253
0.226218, 0.397534, 0.620072, 0.484527, 0.365558, 0.331394
0.350203, 0.378783, 0.603398, 0.607745, 0.466437, 0.508399
0.290154, 0.301845, 0.573331, 0.575369, 0.440994, 0.451142
0.382688, 0.184565, 0.624312, 0.751101, 0.645042, 0.582254
0.279219, 0.272361, 0.677841, 0.580693, 0.379622, 0.383855
0.229156, 0.308458, 0.519625, 0.469967, 0.372609, 0.352891
0.299702, 0.354149, 0.643473, 0.651552, 0.474607, 0.483015
0.326631, 0.23585, 0.640273, 0.674075, 0.577244, 0.504843
0.345851, 0.326833, 0.530445, 0.515908, 0.391478, 0.479573
0.263902, 0.279875, 0.596153, 0.658822, 0.531542, 0.485498
0.320634, 0.30292, 0.590249, 0.639037, 0.500829, 0.448581
0.278194, 0.272117, 0.628578, 0.670274, 0.547634, 0.463103
0.360863, 0.221696, 0.582763, 0.72018, 0.613051, 0.555576
0.271408, 0.327329, 0.596483, 0.448946, 0.34254, 0.410976
0.200539, 0.315648, 0.565087, 0.405515, 0.29716, 0.329603
0.350314, 0.264507, 0.608854, 0.669933, 0.574111, 0.515517
0.321129, 0.345476, 0.592971, 0.4939, 0.382318, 0.407182
0.275101, 0.339301, 0.671969, 0.617024, 0.497737, 0.445425
0.318739, 0.199736, 0.606862, 0.659799, 0.556827, 0.477968
0.283398, 0.229535, 0.67429, 0.586359, 0.371423, 0.40652
0.285818, 0.310438, 0.635349, 0.542555, 0.400978, 0.450748
0.216012, 0.35103, 0.620417, 0.607798, 0.50655, 0.408134
0.306941, 0.304758, 0.626661, 0.600981, 0.458409, 0.43734
0.259594, 0.342472, 0.64684, 0.594703, 0.491075, 0.418433
0.312481, 0.285001, 0.643734, 0.603053, 0.445318, 0.479951
0.412299, 0.313432, 0.577906, 0.719356, 0.574788, 0.5028
0.303808, 0.333226, 0.629224, 0.675405, 0.595482, 0.514595
0.290434, 0.314648, 0.655657, 0.549186, 0.367044, 0.428673
0.296963, 0.335667, 0.632614, 0.512049, 0.374858, 0.339737
0.282465, 0.303861, 0.626361, 0.526841, 0.407026, 0.374089
0.28769, 0.431974, 0.626237, 0.657528, 0.579696, 0.497855
0.256663, 0.396026, 0.672612, 0.519701, 0.395195, 0.363848
0.265261, 0.302289, 0.6358, 0.496541, 0.357032, 0.478957
0.319754, 0.345522, 0.664553, 0.689117, 0.607394, 0.555926
0.302412, 0.28183, 0.601064, 0.519848, 0.361371, 0.388119
0.382861, 0.389452, 0.489834, 0.655658, 0.572335, 0.452727
0.235928, 0.300913, 0.328907, 0.547402, 0.35598, 0.348767
0.500027, 0.246631, 0.461084, 0.767925, 0.662679, 0.587169
0.264334, 0.216127, 0.488959, 0.617329, 0.442742, 0.396635
0.378408, 0.208785, 0.420282, 0.706353, 0.578404, 0.499092
0.209016, 0.200874, 0.402408, 0.434958, 0.356743, 0.392963
0.32851, 0.274777, 0.332951, 0.543314, 0.410595, 0.415473
0.326313, 0.228837, 0.421804, 0.689278, 0.57108, 0.505164
0.278466, 0.358319, 0.463109, 0.59651, 0.438529, 0.390182
0.3848, 0.265601, 0.489127, 0.719233, 0.593158, 0.487376
0.290464, 0.255531, 0.470869, 0.598404, 0.44862, 0.403921
0.23525, 0.288311, 0.482831, 0.549471, 0.424969, 0.359847
0.343463, 0.330795, 0.40927, 0.575159, 0.451133, 0.497154
0.221181, 0.262445, 0.438415, 0.582424, 0.444671, 0.459509
0.469233, 0.282932, 0.328409, 0.69838, 0.585384, 0.522161
0.257689, 0.306967, 0.296705, 0.603808, 0.405947, 0.381906
0.236299, 0.300349, 0.54203, 0.560549, 0.436951, 0.392545
